arya s nair athile karthikayude charctr bisexual ayirikkum 	0
xenderin pakaram okke entha ubayokhikkuka 	0
avare manasil rand pearkum purushanodaanu atracshan allaade avrod chodikarud ningalil aaraanu wifennu avare ullu manasilaakoo avar thiranjeduthad better 	1
kevin enthinaaaa padichenvattan 	0
suryamma enne onnu help cheyyan pattumo aake budhimuttila kazhiyumenkil ende numberil onnu vilikko 9645309364 	0
nourin sk yantukond 	0
onnu kalajittu poda 	0
allah ne tuna 	0
xsebder nan deleted 	0
chettante number thaaro 	0
kmw rider vegetables groceries okke kondu vannu udane use cheytirunno 	0
kurach vyras sarirathil kayariyal adutha divasam peruki kuduthalavile 	0
ee kottitta aalu enthuva parayunne 	0
saranya bhaskar madam dr aano 	0
supreme cort cheyda niyamam thenditharamai nan kanunnad karanam ee low kond vannal hiv kooduthal kanduvarum pashchathya rashtrathil hiv ee karanam kond dhayad usa ee low kond 30 lak olam alkar hiv k pidivattitund pinne oro varshavum 3lak students abortion cheyyapedunnund ennan kanak adkond ee chadi india karod vendilllairunnu supreme cort evde 18 age lady kum 21 age aya boysinum kalyanam enna option undallo pinnend kondan eemadiriyulla chetta low gal 	0
sabareesh bs mandatharam onum eganay vilichu parayalay bro 	0
ipozhum ite angeekarikan kazhiyata alukal undallo keralatil itano champoornna sacharata 	1
enna ninte vaapa tippu sultanod poy ondaklan para kalla jihadi sudappo 	0
palunni valare valare valuthayi yithu yentha 	0
ak wizard aksp ennal padam kayathumbo nalla time pidikum 	0
tik tok nu pakaram roposo upayogikku indian app 	0
minish k john k john athenthaada thayoli hindu ittaa sanghi aakuopatti naayinte mone nee parayunne appo ninte matham maathram madhiyo ivdeatho ninte matham maathram aano sheri erappa achaaayaaaa john kunneee 	0
ashida chechi like njngade clgil vannittnd chechi samsaram kett kondirikkan nalla rasan 	0
muhammed ah book nte onn parayavoenikonn vayikanam 	0
jeevitham avasanikkunnathuvare randuperum santhoshamay kazhiyatte ennu athmardhamayittu agrahikkunnu 	0
chilar angana tune cheyyan nokkum nalla theri paranju oodichal mathi 	0
avatharika enthanavo 	0
agana orikkallum koduvarann pattillla ath 2parkkum orupolla thonnannam 	1
kozhikkottukar arokkey ind ivdey 	0
sunil george ente opinion sharikkum vayikku teachare ivarkku ennalla aarkkum avaravarudethaya swathanthryathil ivide jeevikkaam ivarkku kuttikale venam edukkanam ennokke paranjaal aa kuttiyum ivare pole aayi athu pinne oru sambradayamayi maranamennano thankal parayunne 	0
ee kottitta myran eatharolling floor laughing 	0
akku ikku alla ninnaya uddeshiche 	0
mhd vty thangalkk avshyamulla cmnt itta pore verthe pallinte edel kuthi manappikano 	0
happy wedding anniversary suryamma eniyum kure kalam 2 aalum deergausayirikatte daivam anugrahikatte 2 aalem ningalde community kum society kum ningal 2 alum oru mathraka ayi maratte 	1
randalum life powlik 	1
anchorer kollam 	0
kall vangallleee 	0
suhail pa nnrc caa ivide nadappakki varunnund athukondaanu kore bangladeshi pattikal okke pooyathu india ye verukkunna kore peerakal shaheen bagum mattum konduvannu pidichu annakkilozhichukoduthu chunakuttikal nneda mwone pakisthanil poyittu jihadikale theerathavarkku valinju keri vanna vaanangale eduthu kalayuka ennathu valiya kaaryamonnumallla india bharikkunnath rss aanu india njangade thanthayude vakathanne 	0
nengal paranhath shariyaaanenn aaadhyam gayne kurich vjarikkumbo thonniyirunnu avar janmanaaa anganeyaaanath nokkumbo avar paaavangalalleellavarum god creationsaaan 	1
apo boyne ningl nth ayi anu kanunne boy ayi oru vikarom kanille 	0
illagilum nallathe parayunnavare aarkkum kandukooda avideyum undakum drohikal 	0
nthoke paranjallum namma single pasang thenensingles like adi makkalen 	0
bharat matha ki jai 	0
india populated allenno ithaanee mandan 133 billion aayi ini engotta pokande nammude 3 time size ulla china vare 140 billion aanu 	0
ithokay enginay angeekariykan pattum 	0
jai pubg eniyilla jai bharat matha 	0
athinu pubg chinees app alla korean app aanuchinees company aaya tencentinu 10 share und athaa ellarum chinees aanenn parayunnath nnnammal pubg kalichal kuyappamonnum illa pubg kalikkunnavar cash koduth enthenkilum vaangiyaal athinte 10 chinees company kk pokum 	0
broo negal e parayunna app okke indian aano 	0
home sweets kazhikkan pattumo 	0
chetta pubg yaa 	0
kevin mandanumalla pulli parayunna oro karyavum correct anypakshe athu paranju pidipikkan pullku aryillakevin paranju ethiyalum arun athu valichu pocketip ittu kodukunnuathu pullide vakchaduriyam 	0
chetta njn chettante oru big fan anu ella videos um kanarundu 	1
hai sooryammaaa ammayude vakkukal enne orupadu sagada peduthi engilum saghadathekkal adhikam santhoshavum enikkundayioppam thanne abhimanavumkaranam prathisanthikale marikadannu ithuvare ethiyille iniyum othiri othiri uyaraghalilekku ethan daivam nighale sahayikkatte god bless sooryammaaa ishaniikkkaaa 	1
kottitta pottan bababa adikkaanallo nonnum parayaaan kittunnillanparayunnathonnum nyaayavum illa 	0
ethu motham kalagal pinnna phone enthinnna 	0
hpy wding anvsry surya ishan ikkayude matham seekarichoode 	1
joe mtj ningade kudumbathil ninnu ethenkilum aal marichenkil ningal engane parayuka illayirunnu 	0
sad story mikyavardeyum vicharam gay 	0
salman faris mwonuse eth ninak manassilaakilla kaaranam neeyathalla ennum paranj ente thoolath keeraan varall 	0
china ayit muttan patilla bro 	0
kalli balli thulayatte 	0
matamiladhahu mattadhinu matram annu 	0
karayandapottu ellam sheriyavum 	1
arun sir kidukki 	1
evara polullavariku kuttykala adoppet cheyanula neyamam undakata athukond oro arorum ellatha kungukalda life kudee raksha pedum 	1
tik tok ban cheyyumm hand hand 	0
avar set aaann 	0
jasim abudulla mttc kainj teacher avan povunnu 	0
ponno kidu roast cheyyunnath keettittum kandittum ond pakshe eth myaarakamthank 	0
pubgnsay yes pes 	0
swantham peril vannit theri vilikkaada thaliii 	0
mi phone upayoogikkunna njannmi store uninstall chayyaanee 	0
sathyam enik kore anubavam ond 	0
opposite il irikunna kazhitha etha pottan 	0
prathaap eeta heloyil anu nalla nalla videos anikku kittikond ernnathu helo band ayi eppa helokku pakaram nalla oru app parayamo share chat njn use cheyyunnu pashe heloyude athra ishtapettilla 	0
dr njan um ente hus um saudi il ninnum udene nattil varunnund sharikum pediund hus heart patient anu enth precaution edukanan pls replay 	0
asuyakar palathum parayum dr tharunna oro arivum hospitalil pokunnathinekalum nallathanu 	0
vimanathil varunnavarku corona kittan karanam parayamo 	0
aandava athaanu maranam nammlum marikkum valla choriya angane enthelum vann 	0
xender oyige baakiyellam uninstalledeven pubgnjai hind 	0
pubg korean company aaanu 	0
voice poda tayoli 	0
amal gopakumar nepaleku vitto 	0
videode aayapo nth patii chettaa 	0
idil oraal snehicha aai penkuttiye vivaaham kaichille adhinendha onnum parayathe apo ivarku penkuttikale vivaaham kahich jeevikkan kayyum pinnendhina itharam vruthikedukal cheyyunne 	0
asarudheen k fashinayi pattilla sir 	0
dojohn savio ind 	0
marriage inte karyamano 	0
njan relme narzo 10 	0
big salute chetanmare 	1
doctor valare useful video 	1
hii number tharuvoo 	0
ennu ammamare kurich paranjapo 	0
tiktok n pakaram indian app und 	0
angeekarikkaathirikkunnathinu prashnam onnumilla upadravikkaathirunnal mathi 	1
love surya chechi karanju poyi njan 	1
pubg njan kalayilla mooney na pubg psycho 	0
munbotte yellvidha sawbhagiyavum undakatte 	1
rahnas nv instagram onnum illa enikk 	0
aaraani karutha kottitta marabolan 	0
2250 kannu niranju paavam 	0
aara 80k akka 	0
uc uninstall chyanoo 	0
raihana rahman ninte thantha anennu parayanjath nannai 	0
suryamam nigale kanan orupadu graham undu eniku 	1
rolling floor laughing rolling floor laughing rolling floor laughing njn ithu chindhikayrnnu 	0
doctor valare useful video 	1
sir enik oru dought 	0
suhail pa dey ee timil nthina veruthevargeeyathaye vargeeyatha kond neridunnath foolishness aanukshama palikkukaellarkm nallath varatte 	1
kevin paranjathan shari ithoke kurachh divasam mathram ithoko kundanadi teams 	0
sanumamtha pranavam kode meence 	0
practical brohhivde indiayil vere pakaram sadanam kittillallo pinne engnayaa 	0
chechi happy annivesary orupadu ishtamanu randaleum 	1
ee payyantae ammayum 	0
ashique shajahan rolling floor laughing rolling floor laughing rolling floor laughing 	0
prathab chatta nigal poliyan tto 	0
voice enthooo moneee ammene kettan varanooammaku veedum kadi mutti nikkanoo entha cheyya mone ente undi kettiyale ninte ammede kamam nilaku 	0
bro ee apps nte kaaryavum raajya snehavum koodi kootikalarthi prashnam undaakkunna kure ennam und ee 52 apps nirthalaakkanam ennulla kaaryam munne thanne government nod paranjittulla kaaryam aanu ippo ee rand news um koodi onnaakki parayunnatha ippo 	0
pubg china il ban alle 	0
ethupola life partner akan thalpaeiyum ullavar like adikku 	0
pubg chinese version vere global version vere 	0
kanaan male look aanenkikum samsaram femal um 	0
surya orunoorukollam orumichu jeevikkan daivam anugrahikkatte happy wedding anniversary 	1
paul 2528 achante uduppum ittondu ammade aduthu aniyane undakkan pokkunna marapazhu pundachi monethallaye ookkal orru joli ayikondu nadakkunno 	0
play aakunudalo bro 	0
aadyam playstore kurachu koodi privacy security koottanam lokathu olla sakalamana chavaru apps games um ithinte akathu ondunathokke eduthu kalanjal kollamayirunnu 	0
ee video kku dislike adichirikkunnath mikavarum matham masthishkathil kondu nadakkunnavar aayirikkum 	1
arun kumar poliya 	1
njanum coc kalikkum 	0
keviney mwone neeya ee naadinu shaapamshavam poyi chathoodeyneeyokke eethu kaalathaada jeevikkunney 	0
ooororutharum avarude ishtam pole jeevikatte k 	1
salna muhammad prolshanam anno 	0
chettante kithabil parayatha pala karyangalum ind bhoomiyil vere jeevikalil homosexulaity illlanu ara paranje googlil onnu search cheyth nokk homosexuality aninmals ennu kunju puzhukkal muthal anakal kurangukal vare homosexulaity report cheythitund chettante punya nagaramaya saudiyil rand ankuthirakal swarga rathiyil erpetththinu thala vetty kanjirunnu vallapolum kithab madakki vechu pathravum vivaranulla bookukalum vayikkuka 	1
dr enike varyke orubagathe valipam vachytund heranyka undayit operation chadhu 2 week ayetulu edhethudageete kurache devasam ayulu heranyka undene arinjadhe march avasanamane endhane dr varyke veerepundakankaranam orumarupadyo ale kill oru video cheyanam kathyrikunoo 	0
ivan etha karutha cott ittavan pottan 	0
avaru entina nannikunnethunni illathe irukunundo 	0
